PDI-H-COOH,,PDI-Me-COOH,,PDI-OMe-COOH
Wavenumber,intensity,Wavenumber,intensity,Wavenumber,intensity
525.0251,53.54319,525.0251,48.96252,525.0251,69.55171
525.5072,54.34466,525.5072,49.46107,525.5072,69.33927
525.9893,54.81993,525.9893,49.65426,525.9893,69.10332
526.4714,54.94034,526.4714,49.57385,526.4714,68.85275
526.9536,55.11067,526.9536,49.40592,526.9536,68.59139
527.4357,55.23387,527.4357,49.35944,527.4357,68.31767
527.9178,54.9037,527.9178,49.30267,527.9178,68.02633
528.3999,54.57343,528.3999,49.23495,528.3999,67.71103
528.882,54.18109,528.882,49.12138,528.882,67.3662
529.3641,53.72547,529.3641,48.93513,529.3641,66.98811
529.8463,53.25976,529.8463,48.69762,529.8463,66.57515
530.3284,52.86526,530.3284,48.43198,530.3284,66.12765
530.8105,52.59151,530.8105,48.17001,530.8105,65.64812
531.2926,52.46259,531.2926,47.93862,531.2926,65.1418
531.7747,52.47297,531.7747,47.74952,531.7747,64.617
532.2568,52.59031,532.2568,47.61804,532.2568,64.08513
532.739,52.70568,532.739,47.54427,532.739,63.55807
533.2211,52.68568,533.2211,47.5053,533.2211,63.04398
533.7032,52.43622,533.7032,47.43158,533.7032,62.54263
534.1853,51.95398,534.1853,47.25454,534.1853,62.04276
534.6674,51.29982,534.6674,46.94426,534.6674,61.52478
535.1495,50.56304,535.1495,46.51757,535.1495,60.96817
535.6317,49.83599,535.6317,46.02174,535.6317,60.3608
536.1138,49.16833,536.1138,45.51511,536.1138,59.70647
536.5959,48.5618,536.5959,45.05352,536.5959,59.02629
537.078,47.98461,537.078,44.65919,537.078,58.35259
537.5601,47.4086,537.5601,44.31512,537.5601,57.71733
538.0422,46.84548,538.0422,43.99146,538.0422,57.14033
538.5244,46.31669,538.5244,43.67034,538.5244,56.62318
539.0065,45.82441,539.0065,43.26031,539.0065,56.1519
539.4886,45.17527,539.4886,42.79607,539.4886,55.70383
539.9707,44.65802,539.9707,42.25696,539.9707,55.25554
540.4528,44.01444,540.4528,41.52103,540.4528,54.7861
540.9349,43.15503,540.9349,40.55066,540.9349,54.2768
541.4171,42.22084,541.4171,39.46923,541.4171,53.70888
541.8992,40.85104,541.8992,38.22356,541.8992,53.06448
542.3813,39.44518,542.3813,36.97933,542.3813,52.33261
542.8634,38.06765,542.8634,35.87206,542.8634,51.52084
543.3455,36.83685,543.3455,34.99607,543.3455,50.66776
543.8276,36.10652,543.8276,34.41152,543.8276,49.85156
544.3098,35.46989,544.3098,34.19905,544.3098,49.18729
544.7919,35.22136,544.7919,34.38778,544.7919,48.80881
545.274,35.29469,545.274,34.97443,545.274,48.83675
545.7561,36.0471,545.7561,35.88061,545.7561,49.34482
546.2382,37.12696,546.2382,36.98869,546.2382,50.3399
546.7203,38.45398,546.7203,38.22171,546.7203,51.7654
547.2025,39.96851,547.2025,39.47866,547.2025,53.52143
547.6846,41.60096,547.6846,40.74338,547.6846,55.48857
548.1667,43.3235,548.1667,42.05183,548.1667,57.54554
548.6488,45.11749,548.6488,43.4331,548.6488,59.58081
549.1309,47.05434,549.1309,44.98881,549.1309,61.50218
549.613,49.02846,549.613,46.66941,549.613,63.24626
550.0952,51.0258,550.0952,48.41231,550.0952,64.78448
550.5773,53.01467,550.5773,50.11997,550.5773,66.12174
551.0594,54.94176,551.0594,51.67297,551.0594,67.28664
551.5415,56.75676,551.5415,52.95354,551.5415,68.31712
