Voltage (V),Current_run1 (mA),Current_run2 (mA),Current_run3 (mA),Current_run4 (mA),Current_run5 (mA),Current_avg (mA)
0.0,0.063,0.092,0.088,0.084,0.085,0.0824
0.038,0.394,0.392,0.396,0.392,0.396,0.39399999999999996
0.069,0.866,0.875,0.87,0.875,0.861,0.8694000000000001
0.114,1.109,1.107,1.105,1.1,1.101,1.1044
0.146,1.558,1.558,1.55,1.55,1.553,1.5538
0.186,1.949,1.954,1.95,1.928,1.929,1.9419999999999997
0.225,2.194,2.195,2.19,2.199,2.199,2.1954
0.26,2.55,2.552,2.555,2.542,2.542,2.5482
0.297,2.975,2.979,2.982,2.982,2.977,2.979
0.348,3.411,3.421,3.414,3.409,3.421,3.4152
0.386,3.964,3.942,3.967,3.944,3.961,3.9555999999999996
0.424,4.197,4.203,4.204,4.203,4.203,4.202
0.469,4.594,4.58,4.594,4.589,4.594,4.5902
0.508,4.989,4.985,4.986,4.984,4.99,4.986800000000001
0.538,5.33,5.326,5.328,5.326,5.326,5.3271999999999995
0.572,5.694,5.672,5.678,5.669,5.685,5.6796
0.603,6.061,6.061,6.061,6.061,6.06,6.0607999999999995
0.643,6.574,6.561,6.578,6.566,6.576,6.571
0.676,6.892,6.881,6.889,6.891,6.879,6.886399999999999
0.71,7.265,7.268,7.298,7.3,7.3,7.286199999999999
0.764,7.627,7.627,7.625,7.625,7.629,7.626599999999999
0.797,8.092,8.082,8.078,8.078,8.065,8.078999999999999
0.836,8.456,8.441,8.456,8.443,8.456,8.450399999999998
0.869,8.841,8.843,8.837,8.83,8.827,8.8356
0.902,9.18,9.179,9.19,9.19,9.191,9.186
0.945,9.565,9.575,9.571,9.576,9.575,9.572399999999998
0.985,9.936,9.945,9.939,9.942,9.936,9.9396
1.022,10.32,10.31,10.309,10.327,10.314,10.315999999999999
1.06,10.706,10.705,10.705,10.698,10.705,10.7038
1.093,11.095,11.095,11.09,11.095,11.086,11.0922
1.139,11.556,11.554,11.556,11.567,11.559,11.558399999999999
1.173,11.924,11.926,11.926,11.912,11.913,11.9202
1.217,12.265,12.265,12.27,12.266,12.267,12.2666
1.252,12.683,12.682,12.686,12.687,12.681,12.6838
1.29,13.049,13.049,13.05,13.049,13.05,13.0494
1.329,13.4,13.392,13.394,13.395,13.392,13.3946
1.365,13.774,13.776,13.775,13.776,13.777,13.7756
1.403,14.142,14.132,14.134,14.132,14.131,14.134199999999998
1.442,14.506,14.5,14.501,14.5,14.503,14.501999999999999
1.48,14.87,14.863,14.872,14.865,14.868,14.8676
1.522,15.333,15.336,15.331,15.333,15.334,15.333400000000001
1.56,15.689,15.689,15.69,15.689,15.688,15.688999999999998
1.598,16.039,16.035,16.039,16.036,16.034,16.0366
1.634,16.435,16.431,16.431,16.431,16.432,16.432
1.672,16.813,16.813,16.814,16.814,16.814,16.813599999999997
1.71,17.193,17.197,17.191,17.188,17.195,17.1928
1.746,17.578,17.585,17.577,17.574,17.576,17.577999999999996
1.784,17.95,17.946,17.952,17.947,17.947,17.9484
1.824,18.325,18.325,18.325,18.328,18.328,18.3262
1.862,18.692,18.694,18.688,18.688,18.694,18.691200000000002
1.906,19.159,19.159,19.16,19.159,19.161,19.1596
