PDI-Me-COOH,,PDI-OMe-COOH,,PDI-H-COOH,
wavelength,absorbance,wavelength,absorbance,wavelength,absorbance
800,0.3999,800,0.3033,800,0.2349
799,0.3992,799,0.3044,799,0.235
798,0.4,798,0.3049,798,0.2356
797,0.4003,797,0.3053,797,0.236
796,0.4008,796,0.3059,796,0.2365
795,0.4012,795,0.3073,795,0.237
794,0.4018,794,0.3081,794,0.2374
793,0.4026,793,0.3088,793,0.2378
792,0.4032,792,0.31,792,0.2382
791,0.4039,791,0.3102,791,0.2386
790,0.4047,790,0.3118,790,0.239
789,0.4056,789,0.3125,789,0.2394
788,0.4062,788,0.3135,788,0.2398
787,0.4071,787,0.3143,787,0.2402
786,0.408,786,0.3149,786,0.2406
785,0.4087,785,0.3164,785,0.241
784,0.4093,784,0.3167,784,0.2414
783,0.4101,783,0.3179,783,0.2418
782,0.4107,782,0.3187,782,0.2421
781,0.4113,781,0.3196,781,0.2425
780,0.4116,780,0.3203,780,0.2428
779,0.4119,779,0.3211,779,0.2432
778,0.4122,778,0.3212,778,0.2435
777,0.4127,777,0.3227,777,0.2438
776,0.4132,776,0.3238,776,0.2442
775,0.414,775,0.325,775,0.2445
774,0.4148,774,0.3263,774,0.2447
773,0.4155,773,0.3267,773,0.245
772,0.4162,772,0.3279,772,0.2453
771,0.4169,771,0.3295,771,0.2456
770,0.4177,770,0.3303,770,0.2459
769,0.4186,769,0.331,769,0.2462
768,0.4195,768,0.3322,768,0.2465
767,0.4203,767,0.3331,767,0.2467
766,0.4211,766,0.335,766,0.2469
765,0.422,765,0.3351,765,0.2471
764,0.423,764,0.3367,764,0.2472
763,0.424,763,0.3386,763,0.2473
762,0.4252,762,0.3393,762,0.2474
761,0.4262,761,0.3382,761,0.2476
760,0.4271,760,0.339,760,0.2477
759,0.428,759,0.3408,759,0.2478
758,0.4287,758,0.3416,758,0.248
757,0.4295,757,0.3433,757,0.2482
756,0.4302,756,0.3442,756,0.2484
755,0.4311,755,0.3454,755,0.2487
754,0.4319,754,0.3473,754,0.249
753,0.4329,753,0.3477,753,0.2493
752,0.4336,752,0.3494,752,0.2497
751,0.4344,751,0.3506,751,0.25
750,0.4354,750,0.3519,750,0.2503
749,0.4365,749,0.3528,749,0.2507
748,0.4373,748,0.3544,748,0.251
747,0.4383,747,0.356,747,0.2514
746,0.4394,746,0.3571,746,0.2517
745,0.4402,745,0.3586,745,0.2521
744,0.441,744,0.3604,744,0.2525
743,0.4419,743,0.3613,743,0.253
742,0.4426,742,0.3628,742,0.2535
741,0.4431,741,0.364,741,0.254
740,0.4438,740,0.3659,740,0.2545
739,0.4445,739,0.3671,739,0.2551
738,0.4451,738,0.3689,738,0.2556
737,0.4457,737,0.3697,737,0.2562
736,0.4465,736,0.3714,736,0.2568
735,0.4473,735,0.3729,735,0.2573
734,0.448,734,0.3752,734,0.2579
733,0.4488,733,0.3763,733,0.2585
732,0.4496,732,0.3772,732,0.2591
731,0.4504,731,0.3789,731,0.2597
730,0.4512,730,0.3809,730,0.2603
729,0.4521,729,0.382,729,0.2609
728,0.4529,728,0.3836,728,0.2615
727,0.4538,727,0.3857,727,0.2622
726,0.4546,726,0.3871,726,0.2628
725,0.4554,725,0.3888,725,0.2635
724,0.456,724,0.3904,724,0.2643
723,0.4567,723,0.3915,723,0.265
722,0.4572,722,0.3956,722,0.2658
721,0.4577,721,0.3972,721,0.2667
720,0.4583,720,0.3989,720,0.2675
719,0.4588,719,0.4006,719,0.2684
718,0.4592,718,0.4021,718,0.2694
717,0.4599,717,0.4036,717,0.2704
716,0.4604,716,0.4058,716,0.2714
715,0.461,715,0.4076,715,0.2724
714,0.4617,714,0.4092,714,0.2734
713,0.4624,713,0.4109,713,0.2745
712,0.4631,712,0.4124,712,0.2756
711,0.4639,711,0.4137,711,0.2767
710,0.4646,710,0.4158,710,0.2778
709,0.4653,709,0.4176,709,0.2789
708,0.4659,708,0.4191,708,0.2801
707,0.4665,707,0.4213,707,0.2813
706,0.4671,706,0.4231,706,0.2826
705,0.4677,705,0.4245,705,0.2839
704,0.4682,704,0.4265,704,0.2852
703,0.4688,703,0.4285,703,0.2866
702,0.4692,702,0.4304,702,0.2881
701,0.4697,701,0.432,701,0.2896
700,0.4701,700,0.4343,700,0.2912
699,0.4707,699,0.4359,699,0.2928
698,0.471,698,0.4376,698,0.2945
697,0.4716,697,0.4399,697,0.2962
696,0.472,696,0.4417,696,0.298
695,0.4725,695,0.4436,695,0.2998
