PDI-H-COOH,,PDI-Me-COOH,PDI-OMe-COOH
Angle,Intensity,Angle,Intensity,Angle,Intensity
5,55,5,93,5,71
5.02,54,5.02,78,5.02,59
5.04,75,5.04,57,5.04,57
5.06,67,5.06,76,5.06,66
5.08,50,5.08,78,5.08,66
5.1,57,5.1,66,5.1,54
5.12,66,5.12,75,5.12,69
5.14,56,5.14,65,5.14,62
5.16,50,5.16,90,5.16,70
5.18,68,5.18,92,5.18,60
5.2,64,5.2,68,5.2,57
5.22,78,5.22,68,5.22,68
5.24,41,5.24,82,5.24,63
5.26,69,5.26,69,5.26,55
5.28,63,5.28,94,5.28,61
5.3,65,5.3,96,5.3,60
5.32,72,5.32,74,5.32,59
5.34,55,5.34,87,5.34,71
5.36,68,5.36,87,5.36,71
5.38,77,5.38,84,5.38,69
5.4,70,5.4,92,5.4,52
5.42,57,5.42,94,5.42,55
5.44,57,5.44,88,5.44,75
5.46,45,5.46,118,5.46,68
5.48,58,5.48,118,5.48,76
5.5,72,5.5,100,5.5,68
5.52,73,5.52,126,5.52,80
5.54,82,5.54,110,5.54,73
5.56,81,5.56,129,5.56,74
5.58,72,5.58,125,5.58,54
5.6,78,5.6,127,5.6,74
5.62,92,5.62,135,5.62,85
5.64,74,5.64,144,5.64,79
5.66,79,5.66,168,5.66,70
5.68,90,5.68,173,5.68,72
5.7,86,5.7,178,5.7,78
5.72,94,5.72,173,5.72,94
5.74,86,5.74,198,5.74,72
5.76,100,5.76,207,5.76,96
5.78,76,5.78,228,5.78,112
5.8,99,5.8,244,5.8,89
5.82,104,5.82,249,5.82,112
5.84,120,5.84,275,5.84,87
5.86,128,5.86,288,5.86,101
5.88,104,5.88,296,5.88,125
5.9,117,5.9,344,5.9,116
5.92,137,5.92,375,5.92,128
5.94,134,5.94,404,5.94,161
5.96,165,5.96,455,5.96,162
5.98,167,5.98,418,5.98,134
6,196,6,483,6,134
6.02,211,6.02,472,6.02,114
6.04,246,6.04,526,6.04,97
6.06,276,6.06,462,6.06,93
6.08,329,6.08,456,6.08,88
6.1,358,6.1,445,6.1,74
6.12,345,6.12,427,6.12,65
6.14,275,6.14,347,6.14,73
6.16,195,6.16,333,6.16,69
6.18,151,6.18,346,6.18,59
6.2,89,6.2,275,6.2,59
6.22,76,6.22,291,6.22,70
6.24,59,6.24,246,6.24,61
6.26,51,6.26,220,6.26,55
6.28,49,6.28,182,6.28,64
6.3,65,6.3,174,6.3,76
6.32,53,6.32,124,6.32,82
6.34,61,6.34,128,6.34,68
6.36,41,6.36,117,6.36,79
6.38,51,6.38,101,6.38,74
6.4,54,6.4,83,6.4,72
6.42,50,6.42,60,6.42,74
6.44,65,6.44,88,6.44,68
6.46,47,6.46,66,6.46,90
6.48,42,6.48,57,6.48,87
6.5,50,6.5,52,6.5,86
6.52,52,6.52,56,6.52,94
6.54,37,6.54,56,6.54,93
6.56,46,6.56,55,6.56,92
6.58,65,6.58,49,6.58,104
6.6,45,6.6,43,6.6,111
6.62,45,6.62,53,6.62,106
6.64,45,6.64,45,6.64,111
6.66,49,6.66,45,6.66,126
